iter	Passed	Remaining
0	4	411
1	5	273
2	7	256
3	10	240
4	11	227
5	14	221
6	16	213
7	18	217
8	20	212
9	22	198
10	24	194
11	25	190
12	27	185
13	29	181
14	31	176
15	33	177
16	37	182
17	39	179
18	41	175
19	42	168
20	44	167
21	45	161
22	47	160
23	50	159
24	52	157
25	54	155
26	56	152
27	58	150
28	60	147
29	62	145
30	63	141
31	65	138
32	67	136
33	69	134
34	70	131
35	72	129
36	74	126
37	76	124
38	77	121
39	80	120
40	83	120
41	85	117
42	87	115
43	89	113
44	91	111
45	92	108
46	95	107
47	97	105
48	99	103
49	101	101
50	103	99
51	105	96
52	106	94
53	109	93
54	112	92
55	114	90
56	116	88
57	118	86
58	120	83
59	122	81
60	125	80
61	128	78
62	129	76
63	131	74
64	133	72
65	136	70
66	138	68
67	139	65
68	141	63
69	143	61
70	145	59
71	147	57
72	150	55
73	152	53
74	155	51
75	156	49
76	159	47
77	161	45
78	163	43
79	165	41
80	167	39
81	172	37
82	173	35
83	176	33
84	178	31
85	180	29
86	182	27
87	189	25
88	191	23
89	194	21
90	196	19
91	198	17
92	201	15
93	203	12
94	205	10
95	207	8
96	209	6
97	211	4
98	213	2
99	216	0
